Atypical Argyll-Robertson pupil (disorder)	DOID:14523
anal spasm 	DOID:11374
epidemic typhus	DOID:0050480
Sjogren-Larsson's syndrome	DOID:14501
acinar cell carcinoma morphologic abnormality	DOID:3025
deficiency of vitamin K disorder	DOID:11249
Oropharyngeal carcinoma	DOID:8557
angiosarcoma of spleen 	DOID:265
Racemose hemangioma	DOID:11294
vater ASSOCIATION	DOID:14679
Hodgkin's disease, nodular sclerosis NOS (disorder)	DOID:8838
Ewings sarcoma/bone peripheral primitive neuroectodermal tumor	DOID:3368
NOS Compartmental disease	DOID:682
Neurilemmoma of Jugular Foramen	DOID:6735
tumor of the ampulla of vater	DOID:10022
CBS deficiency	DOID:9263
Brainstem infarction NOS (disorder)	DOID:3523
Sezary's disease NOS 	DOID:8541
adenocarcinoma of esophagus	DOID:4914
Lebers congenital amaurosis	DOID:14791
hockey elbow	DOID:14087
acute gonococcal cervicitis disorder	DOID:10615
methylmalonic aciduria	DOID:14749
Intermittent squint 	DOID:1942
luteoma	DOID:7880
Sprue  tropical	DOID:10607
verrucous squamous cell carcinoma 	DOID:3737
male reproductive system disorder	DOID:48
Diverticulum of bladder NOS 	DOID:11353
chronic obstructive airways disease NOS	DOID:3083
van der Hoeve Halbertsona Waardenburg disorder	DOID:9258
bladder mixed adenocarcinoma	DOID:8096
malignant tumor of male genital organ 	DOID:3856
Capillary Angioma of breast	DOID:6491
lysosomal storage disease	DOID:3211
lymphoid leukemia	DOID:10747
hemangioma of Synovium	DOID:8274
Pompe's syndrome	DOID:2752
Blessigs cysts	DOID:12164
Irregular astigmatism disorder	DOID:13919
Leeches	DOID:11079
malignant melanoma of anus disorder	DOID:14145
Alveolitis of jaw NOS (disorder)	DOID:13585
unilocular hydatid disorder	DOID:1495
Gastro-esophageal reflux	DOID:8534
Lipoma of breast disorder	DOID:10199
Erythrasma  [Ambiguous]	DOID:4131
Uveitis, posterior	DOID:12574
Alveolar adenocarcinoma (morphologic abnormality)	DOID:4926
Adenosquamous carcinoma of stomach	DOID:5635
TOS - Thoracic outlet disease	DOID:3103
malignant tumor of submandibular gland (disorder)	DOID:9173
hematopoietic neoplasm	DOID:2531
Paravaccinia NOS 	DOID:8729
verrucous carcinoma of Vulva	DOID:3740
Pilomatrixoma morphologic abnormality	DOID:5374
Pneumoconiosis due to talc (disorder)	DOID:10329
Caplans disorder	DOID:10326
pancreatic endocrine carcinoma	DOID:1798
Hemarthrosis of lower leg	DOID:801
chondroma	DOID:2602
Silo-fillers' disease	DOID:4374
secondary corneal edema (disorder)	DOID:11032
nodular hidradenoma	DOID:2061
deficiency of catalase disorder	DOID:2582
Foster-Kennedy disorder	DOID:14555
Hemoglobin C disease disorder	DOID:2859
Paraplegia, lower	DOID:607
Double outlet right ventricle (disorder)	DOID:6406
NOS morphologic abnormality Papillary cystadenocarcinoma	DOID:3110
squamous cell neoplasm morphologic abnormality	DOID:3168
NOS Compartmental syndrome	DOID:682
Vasomotor rhinitis 	DOID:4730
Temporal arteritis (disorder)	DOID:13375
Struma ovarii NOS (morphologic abnormality)	DOID:2640
MORQUIO A disorder	DOID:12804
LECITHIN:CHOLESTEROL ACYLTRANSFERASE DEFICIENCY	DOID:1391
acute nonparalytic poliomyelitis	DOID:4986
acute allergic serous otitis media (disorder)	DOID:11558
Shermans Disease	DOID:13300
angioid streaks of choroid	DOID:979
Radial nerve lesion NOS 	DOID:12170
Burkitt lymphoma/leukaemia	DOID:8584
Stripper's asthma	DOID:10323
malignant tumor of subglottis 	DOID:11472
