Hirudin variant-1	Lepirudin
Lepirudin	Lepirudin
Anti EGFRIMC-C225	Cetuximab
Cetuximab	Cetuximab
Deoxyribonuclease IDeoxyribonuclease-1 precursorDNaseDNase IrhDNase	Dornase alfa
Dornase alfa	Dornase alfa
Diphtheria toxin precursorDTNAD(+--diphthamide ADP- ribosyltransferase)	Denileukin diftitox
Denileukin diftitox	Denileukin diftitox
CD120bp75p80 TNF-alpha receptorTNF-R2Tumor necrosis factor receptor 2Tumor necrosis factor receptor superfamily member 1B precursorTumor necrosis factor receptor type II	Etanercept
Etanercept	Etanercept
Bivalirudin	Bivalirudin
(D-Leu(6),des-gly-NH2(10),pro-ethylamide(9))-gonadotropin-releasing hormoneL-Pyroglutamyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-leucyl-L-leucyl-L-arginyl-L-proline ethylamideLeuprorelinLeuprorelinaLeuprorelineLeuprorelinumPGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-NHC2H5PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-nhet	Leuprolide
Leuprolide	Leuprolide
Peginterferon alfa-2a	Peginterferon alfa-2a
t-PAt-plasminogen activatorTissue-type plasminogen activator precursortPA	Alteplase
Alteplase	Alteplase
Sermorelin	Sermorelin
Interferon alpha-2Interferon alpha-ALeIF A	Interferon alfa-n1
Interferon alfa-n1	Interferon alfa-n1
EpoetinErythropoietin precursor	Darbepoetin alfa
Darbepoetin alfa	Darbepoetin alfa
U-plasminogen activatoruPAUrokinase-type plasminogen activator precursor	Urokinase
Urokinase	Urokinase
GoserelinGoserelin acetateICI-118630Zoladex	Goserelin
Goserelin	Goserelin
t- PAt-plasminogen activatorTissue-type plasminogen activator precursortPA	Reteplase
Reteplase	Reteplase
Erythropoietin precursor	Epoetin alfa
Epoetin alfa	Epoetin alfa
CalcimarCalcitonin 1 precursorCalcitonin-salmonCalcitonin, salmonCibacalcinForticalMiacalcinSalmon calcitoninSalmotonin	Salmon Calcitonin
Salmon Calcitonin	Salmon Calcitonin
Interferon alfa-n3	Interferon alfa-n3
G-CSFGranulocyte colony-stimulating factor precursorLenograstimN-(3-Hydroxypropyl)Methionylcolony-stimulating Factor (human), 1-Ether with .Alpha.-Methyl-.Omega.-Hydroxypoly(Oxyethylene)Pluripoietin	Pegfilgrastim
Pegfilgrastim	Pegfilgrastim
GM-CSF	Sargramostim
Sargramostim	Sargramostim
Secretin	Secretin
Peginterferon alfa-2b	Peginterferon alfa-2b
L-asparagine amidohydrolasePutative L-asparaginase precursor	Asparaginase
Asparaginase	Asparaginase
rTSHThyroid stimulating hormoneThyrotrophin-alfaThyrotrophin-alphaThyrotropinThyrotropin-aThyrotropin-alphaThytrophinTSH	Thyrotropin Alfa
Thyrotropin Alfa	Thyrotropin Alfa
AHFFactor VIII	Antihemophilic Factor
Antihemophilic Factor	Antihemophilic Factor
ICIL-1RAIL-1raIL-1RNIL1 inhibitorInterleukin-1 receptor antagonist protein precursorIRAP	Anakinra
Anakinra	Anakinra
GramicidinGramicidin AGramicidin BGramicidin CGramicidine	Gramicidin D
Gramicidin D	Gramicidin D
Ig alpha-2 chain C regionimmune globulinImmunoglobulin G	Intravenous Immunoglobulin
Intravenous Immunoglobulin	Intravenous Immunoglobulin
t- PAt-plasminogen activatorTissue-type plasminogen activator precursortPA	Anistreplase
Anistreplase	Anistreplase
Insulin human 	Insulin Regular
Insulin Regular	Insulin Regular
t- PAt-plasminogen activatorTissue-type plasminogen activator precursortPA	Tenecteplase
Tenecteplase	Tenecteplase
Menotropins	Menotropins
IFN-gammaImmune interferonInterferon gamma precursor	Interferon gamma-1b
Interferon gamma-1b	Interferon gamma-1b
Interferon alfa-2aOral interferon alfarIFN-alpha-2a	Interferon Alfa-2a, Recombinant
Interferon Alfa-2a, Recombinant	Interferon Alfa-2a, Recombinant
